rank, p, n, total, time/gen, comm/gen, comp/gen, display/gen, comm/display, sendrecv/gen, barrier/gen
14, 16, 64, 58.813000, 0.588130, 0.573090, 0.015040, 0.000120, 0.006000, 0.024030, 0.549060
7, 16, 64, 72.825000, 0.728250, 0.703570, 0.024680, 0.000170, 0.008500, 0.150650, 0.552920
13, 16, 64, 61.170000, 0.611700, 0.597910, 0.013790, 0.000130, 0.006500, 0.026720, 0.571190
12, 16, 64, 63.619000, 0.636190, 0.622590, 0.013600, 0.000100, 0.005000, 0.278580, 0.344010
15, 16, 64, 56.528000, 0.565280, 0.551210, 0.014070, 0.000080, 0.003500, 0.270070, 0.281140
9, 16, 64, 70.397000, 0.703970, 0.679480, 0.024490, 0.000200, 0.009500, 0.028260, 0.651220
10, 16, 64, 68.144000, 0.681440, 0.656840, 0.024600, 0.000260, 0.012500, 0.025040, 0.631800
8, 16, 64, 72.779000, 0.727790, 0.701000, 0.026790, 0.000210, 0.010000, 0.316090, 0.384910
11, 16, 64, 65.852000, 0.658520, 0.633260, 0.025260, 0.000180, 0.009000, 0.215930, 0.417330
1, 16, 128, 1141.834000, 11.418340, 11.364520, 0.053820, 0.000070, 0.003500, 0.827060, 10.537460
3, 16, 128, 1141.837000, 11.418370, 11.361770, 0.056600, 0.000050, 0.002500, 0.544370, 10.817400
8, 16, 128, 1134.709000, 11.347090, 11.249520, 0.097570, 0.000170, 0.008500, 0.834200, 10.415320
9, 16, 128, 1132.425000, 11.324250, 11.223930, 0.100320, 0.000250, 0.012000, 0.029380, 11.194550
7, 16, 128, 1134.717000, 11.347170, 11.243230, 0.103940, 0.000220, 0.011000, 0.090470, 11.152760
15, 16, 128, 1115.024000, 11.150240, 11.096930, 0.053310, 0.000090, 0.004500, 0.679570, 10.417360
4, 16, 128, 1141.692000, 11.416920, 11.308750, 0.108170, 0.000200, 0.010000, 0.491740, 10.817010
10, 16, 128, 1130.009000, 11.300090, 11.191320, 0.108770, 0.000290, 0.014000, 5.335860, 5.855460
0, 16, 128, 1059.490000, 10.594900, 10.539600, 0.055300, 0.556280, 9.171500, 0.321030, 10.218570
2, 16, 128, 1141.835000, 11.418350, 11.362450, 0.055900, 0.000070, 0.002500, 0.001230, 11.361220
11, 16, 128, 1124.678000, 11.246780, 11.144380, 0.102400, 0.000150, 0.007500, 0.126330, 11.018050
